Datetime,RWY 09 (BEG),RWY 10 (TDZ),RWY 11 (BEG),RWY 11 (TDZ),RWY 27 (MID),RWY 28 (MID),RWY 28 (BEG),RWY 28 (TDZ),RWY 29 (BEG),RWY 09 (TDZ),RWY 29 (MID),RWY_09_BEG_predicted,RWY_09_TDZ_predicted,RWY_10_TDZ_predicted,RWY_11_BEG_predicted,RWY_11_TDZ_predicted,RWY_27_MID_predicted,RWY_28_BEG_predicted,RWY_28_MID_predicted,RWY_28_TDZ_predicted,RWY_29_BEG_predicted,RWY_29_MID_predicted
2024-02-16 08:20:00,1556.1833333333334,3318.85,3333.0,3333.0,3333.0,3333.0,3333.0,2556.15,3333.0,3333.0,3333.0,1546.5848,3331.292,3329.792,3330.0503,3222.3484,3329.5098,3331.065,3331.0073,2801.399,3329.1572,3329.898
2024-02-16 08:30:00,1699.7,3288.2,3333.0,3333.0,3333.0,3333.0,3333.0,2568.0,3333.0,3333.0,3333.0,1580.7052,3331.292,3168.2942,3330.0503,3257.0166,3329.5098,3331.065,3331.0073,2514.338,3329.1572,3329.898
2024-02-16 08:40:00,1579.9166666666667,3157.0,3333.0,3333.0,3333.0,3333.0,3333.0,2599.883333333333,3333.0,3333.0,3333.0,1826.9316,3331.292,3209.7312,3330.0503,3323.7747,3329.5098,3331.065,3331.0073,2573.5786,3329.1572,3329.898
2024-02-16 08:50:00,1532.4833333333331,3054.65,3333.0,3333.0,3333.0,3333.0,3333.0,2780.6833333333334,3333.0,3333.0,3333.0,1567.7224,3331.292,3056.2605,3330.0503,3331.3645,3329.5098,3331.065,3331.0073,2586.1692,3329.1572,3329.898
2024-02-16 09:00:00,1568.1166666666666,2711.3728813559323,3333.0,3333.0,3333.0,3333.0,3333.0,3074.8,3333.0,3333.0,3333.0,1549.8173,3331.292,3053.439,3330.0503,3331.3645,3329.5098,3331.065,3331.0073,2873.5198,3329.1572,3329.898
2024-02-16 09:10:00,1564.5666666666666,2743.633333333333,3333.0,3333.0,3333.0,3333.0,3333.0,2834.1833333333334,3333.0,3333.0,3333.0,1602.1764,3331.292,2615.653,3330.0503,3331.3645,3329.5098,3331.065,3331.0073,3154.2776,3329.1572,3329.898
2024-02-16 09:20:00,1596.6666666666667,2654.5333333333333,3333.0,3333.0,3333.0,3333.0,3333.0,3223.4166666666665,3333.0,3333.0,3333.0,1599.1952,3331.292,2805.161,3330.0503,3331.3645,3329.5098,3331.065,3331.0073,2773.1309,3329.1572,3329.898
2024-02-16 09:30:00,1569.75,2788.95,3333.0,3333.0,3333.0,3333.0,3333.0,3248.266666666667,3333.0,3333.0,3333.0,1611.6259,3331.292,2609.755,3330.0503,3331.3645,3329.5098,3331.065,3331.0073,3227.5544,3329.1572,3329.898
2024-02-16 09:40:00,1552.4333333333334,2668.1,3333.0,3333.0,3333.0,3333.0,3333.0,3268.3728813559323,3333.0,3333.0,3333.0,1575.548,3331.292,2824.075,3330.0503,3331.3645,3329.5098,3331.065,3331.0073,3203.73,3329.1572,3329.898
2024-02-16 09:50:00,1556.4166666666667,2379.5,3333.0,3333.0,3333.0,3333.0,3333.0,3143.2833333333333,3333.0,3333.0,3333.0,1577.724,3331.292,2609.6555,3330.0503,3331.3645,3329.5098,3331.065,3331.0073,3255.478,3329.1572,3329.898
